college_code,college_name,province,city,source_page
０００１,浙江大学,浙江,杭州,397
０００２,中国美术学院,浙江,杭州,392
０００３,浙江工业大学,浙江,杭州,392
０００４,浙江师范大学,浙江,金华,397
０００５,宁波大学,浙江,宁波,397
０００６,杭州电子科技大学,浙江,杭州,350
０００７,浙江工商大学,浙江,杭州,350
０００８,浙江理工大学,浙江,杭州,391
０００９,温州医科大学,浙江,温州,16
００１０,浙江海洋大学,浙江,舟山,16
００１１,浙江农林大学,浙江,杭州,350
００１２,浙江中医药大学,浙江,杭州,18
００１３,中国计量大学,浙江,杭州,350
００１４,浙江万里学院,浙江,宁波,350
００１５,浙江科技大学,浙江,杭州,391
００１６,浙江财经大学,浙江,杭州,395
００１７,嘉兴大学,浙江,嘉兴,397
００１８,浙大城市学院,浙江,杭州,351
００１９,浙大宁波理工学院,浙江,宁波,351
００２０,杭州师范大学,浙江,杭州,397
００２１,湖州师范学院,浙江,湖州,397
００２２,绍兴文理学院,浙江,绍兴,397
００２３,台州学院,浙江,台州,397
００２４,温州大学,浙江,温州,397
００２５,浙江外国语学院,浙江,杭州,384
００２７,浙江传媒学院,浙江,杭州,392
００２８,宁波工程学院,浙江,宁波,26
００２９,衢州学院,浙江,衢州,397
００３０,浙江水利水电学院,浙江,杭州,27
００３６,杭州医学院,浙江,杭州,28
００３８,丽水学院,浙江,丽水,397
００４１,浙江艺术职业学院,浙江,杭州,392
００４２,浙江交通职业技术学院,浙江,杭州,29
００４３,浙江工商职业技术学院,浙江,宁波,351
００４４,浙江工贸职业技术学院,浙江,温州,351
００４５,浙江机电职业技术大学,浙江,杭州,352
００４６,浙江商业职业技术学院,浙江,杭州,352
００４７,浙江警官职业学院,浙江,杭州,31
００４８,浙江工业职业技术学院,浙江,绍兴,31
００４９,浙江旅游职业学院,浙江,杭州,397
００５０,浙江金融职业学院,浙江,杭州,352
００５１,浙江经济职业技术学院,浙江,杭州,352
００５２,浙江建设职业技术学院,浙江,杭州,352
００５３,浙江经贸职业技术学院,浙江,杭州,352
００５８,浙江纺织服装职业技术学院,浙江,宁波,391
００６０,杭州职业技术大学,浙江,杭州,352
００６１,金华职业技术大学,浙江,金华,397
００６２,义乌工商职业技术学院,浙江,义乌,391
００６３,宁波职业技术大学,浙江,宁波,352
００６４,温州职业技术学院,浙江,温州,352
００６６,台州职业技术学院,浙江,台州,38
００６９,嘉兴职业技术学院,浙江,嘉兴,352
００７０,湖州职业技术学院,浙江,湖州,352
００７１,衢州职业技术学院,浙江,衢州,397
００７２,丽水职业技术学院,浙江,丽水,353
００７５,台州科技职业学院,浙江,台州,41
００７６,杭州科技职业技术学院,浙江,杭州,353
００８５,温州科技职业学院,浙江,温州,43
０１０６,浙江同济科技职业学院,浙江,杭州,353
０１１１,浙江国际海运职业技术学院,浙江,舟山,47
０１１２,宁波卫生职业技术学院,浙江,宁波,48
０１１３,宁波城市职业技术学院,浙江,宁波,353
０１１５,浙江特殊教育职业学院,浙江,杭州,48
０１２１,湖州学院,浙江,湖州,397
０１２２,绍兴理工学院,浙江,绍兴,354
０１２３,温州理工学院,浙江,温州,354
０１２４,宁波幼儿师范高等专科学校,浙江,宁波,397
０１２５,嘉兴南湖学院,浙江,嘉兴,354
０１２８,浙江邮电职业技术学院,浙江,绍兴,354
０１２９,浙江农业商贸职业学院,浙江,绍兴,354
０１３３,浙江安防职业技术学院,浙江,温州,354
０１９８,浙江音乐学院,浙江,杭州,377
０１９９,浙江药科职业大学,浙江,宁波,53
０２３２,浙江舟山群岛新区旅游与健康职业学院,浙江,舟山,53
０２５９,浙江大学医学院,浙江,杭州,53
