college_code,college_name,city,years
0001,浙江大学,杭州,2024
0002,中国美术学院,杭州,"2023,2024"
0003,浙江工业大学,杭州,"2023,2024"
0004,浙江师范大学,金华,"2023,2024"
0005,宁波大学,宁波,"2023,2024"
0006,杭州电子科技大学,杭州,"2023,2024"
0007,浙江工商大学,杭州,"2023,2024"
0008,浙江理工大学,杭州,"2023,2024"
0009,温州医科大学,温州,2023
0010,浙江海洋大学,舟山,2023
0011,浙江农林大学,杭州,"2023,2024"
0012,浙江中医药大学,杭州,2023
0013,中国计量大学,杭州,"2023,2024"
0014,浙江万里学院,宁波,"2023,2024"
0015,浙江科技大学,杭州,2024
0015,浙江科技学院,杭州,2023
0016,浙江财经大学,杭州,"2023,2024"
0017,嘉兴大学,嘉兴,2024
0017,嘉兴学院,嘉兴,2023
0018,浙大城市学院,杭州,"2023,2024"
0019,浙大宁波理工学院,宁波,"2023,2024"
0020,杭州师范大学,杭州,"2023,2024"
0021,湖州师范学院,湖州,"2023,2024"
0022,绍兴文理学院,绍兴,"2023,2024"
0023,台州学院,台州,"2023,2024"
0024,温州大学,温州,"2023,2024"
0025,浙江外国语学院,杭州,"2023,2024"
0027,浙江传媒学院,杭州,"2023,2024"
0028,宁波工程学院,宁波,2023
0029,衢州学院,衢州,"2023,2024"
0030,浙江水利水电学院,杭州,2023
0036,杭州医学院,杭州,2023
0038,丽水学院,丽水,"2023,2024"
0041,浙江艺术职业学院,杭州,"2023,2024"
0042,浙江交通职业技术学院,杭州,2023
0043,浙江工商职业技术学院,宁波,"2023,2024"
0044,浙江工贸职业技术学院,温州,"2023,2024"
0045,浙江机电职业技术大学,杭州,2024
0045,浙江机电职业技术学院,杭州,2023
0046,浙江商业职业技术学院,杭州,"2023,2024"
0047,浙江警官职业学院,杭州,2023
0048,浙江工业职业技术学院,绍兴,2023
0049,浙江旅游职业学院,杭州,"2023,2024"
0050,浙江金融职业学院,杭州,"2023,2024"
0051,浙江经济职业技术学院,杭州,"2023,2024"
0052,浙江建设职业技术学院,杭州,"2023,2024"
0053,浙江经贸职业技术学院,杭州,2023
