year,college_code,college_name,college_province,college_city,major_name,subject_requirement,subject_mode,subject_subjects,plan_count,duration,avg_score,seg1_min_score,seg1_min_rank,seg2_min_score,seg2_min_rank,data_quality,seg1_status,seg2_status,source_page
2023,0001,浙江大学,浙江,杭州,人文科学试验班,历史/地理,any_of,"历史,地理",80,4,676,672,4122,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,新闻传播学类,不限,none,,55,4,673,670,4596,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,外国语言文学类,不限,none,,28,4,673,671,4422,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,社会科学试验班( 竺可桢学院人文社科实验班),不限,none,,5,4,695,694,450,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,社会科学试验班( 数字法治卓越班),不限,none,,4,4,692,691,676,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,社会科学试验班( 智能财务荣誉项目班),不限,none,,4,4,696,694,442,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,社会科学试验班( 含数字金融双学士学位项目),不限,none,,174,4,680,676,2901,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,理科试验班类( 含商务大数据分析双学士学位项目),物理,all_of,物理,105,4,685,683,1600,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,理科试验班( 生命、环境、化学与地学),物理,all_of,物理,130,4,675,673,3858,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,工科试验班,物理,all_of,物理,394,4,680,677,2757,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,工科试验班( 建筑与土木),物理,all_of,物理,169,5,671,668,5244,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,工科试验班( 材料、化工与高分子),物理,all_of,物理,166,4,672,669,4999,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,工科试验班( 信息),物理,all_of,物理,247,4,690,686,1184,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,工科试验班( 竺可桢学院图灵班),物理,all_of,物理,5,4,700,699,220,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,工科试验班( 海洋),物理,all_of,物理,119,4,665,663,6937,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,应用生物科学( 农学),物理/化学,any_of,"物理,化学",166,4,666,664,6679,,,OK,OK,NO_ADMISSION,12
2023,0001,浙江大学,浙江,杭州,应用生物科学( 生工食品),物理/化学,any_of,"物理,化学",23,4,670,668,5080,,,OK,OK,NO_ADMISSION,12
2023,0002,中国美术学院,浙江,杭州,艺术学理论类,不限,none,,22,4,636,628,27188,,,OK,OK,NO_ADMISSION,12
