year,score,count_at_score,cumulative_rank
2026,693,392,392
2026,692,55,447
2026,691,73,520
2026,690,100,620
2026,689,97,717
2026,688,84,801
2026,687,129,930
2026,686,144,1074
2026,685,128,1202
2026,684,145,1347
2026,683,143,1490
2026,682,168,1658
2026,681,188,1846
2026,680,185,2031
2026,679,220,2251
2026,678,249,2500
2026,677,193,2693
2026,676,245,2938
2026,675,238,3176
2026,674,219,3395
2026,673,248,3643
2026,672,276,3919
2026,671,297,4216
2026,670,295,4511
2026,669,315,4826
2026,668,278,5104
2026,667,299,5403
2026,666,339,5742
2026,665,366,6108
2026,664,366,6474
2026,663,403,6877
2026,662,337,7214
2026,661,395,7609
2026,660,412,8021
2026,659,414,8435
2026,658,442,8877
2026,657,441,9318
2026,656,433,9751
2026,655,441,10192
2026,654,470,10662
2026,653,470,11132
2026,652,487,11619
2026,651,514,12133
2026,650,526,12659
2026,649,546,13205
2026,648,499,13704
2026,647,603,14307
2026,646,531,14838
2026,645,555,15393
2026,644,588,15981
2026,643,587,16568
2026,642,646,17214
2026,641,664,17878
2026,640,706,18584
2026,639,658,19242
2026,638,652,19894
2026,637,681,20575
2026,636,718,21293
2026,635,678,21971
2026,634,746,22717
2026,633,729,23446
2026,632,706,24152
2026,631,758,24910
2026,630,746,25656
2026,629,815,26471
2026,628,820,27291
2026,627,878,28169
2026,626,829,28998
2026,625,811,29809
2026,624,800,30609
2026,623,823,31432
2026,622,865,32297
2026,621,924,33221
2026,620,884,34105
2026,619,899,35004
2026,618,942,35946
2026,617,944,36890
2026,616,940,37830
2026,615,964,38794
2026,614,976,39770
2026,613,1070,40840
2026,612,1014,41854
2026,611,974,42828
2026,610,1051,43879
2026,609,1083,44962
2026,608,1030,45992
2026,607,1069,47061
2026,606,1090,48151
2026,605,1077,49228
2026,604,1100,50328
2026,603,1144,51472
2026,602,1099,52571
2026,601,1135,53706
2026,600,1042,54748
2026,599,1138,55886
2026,598,1134,57020
2026,597,1126,58146
2026,596,1210,59356
2026,595,1174,60530
2026,594,1143,61673
2026,593,1216,62889
2026,592,1129,64018
2026,591,1169,65187
2026,590,1174,66361
2026,589,1210,67571
2026,588,1207,68778
2026,587,1178,69956
2026,586,1159,71115
2026,585,1195,72310
2026,584,1199,73509
2026,583,1232,74741
2026,582,1209,75950
2026,581,1303,77253
2026,580,1192,78445
2026,579,1268,79713
2026,578,1168,80881
2026,577,1202,82083
2026,576,1254,83337
2026,575,1255,84592
2026,574,1188,85780
2026,573,1310,87090
2026,572,1284,88374
2026,571,1283,89657
2026,570,1228,90885
2026,569,1250,92135
2026,568,1249,93384
2026,567,1268,94652
2026,566,1199,95851
2026,565,1295,97146
2026,564,1245,98391
2026,563,1244,99635
2026,562,1269,100904
2026,561,1230,102134
2026,560,1218,103352
2026,559,1318,104670
2026,558,1296,105966
2026,557,1260,107226
2026,556,1298,108524
2026,555,1239,109763
2026,554,1248,111011
2026,553,1317,112328
2026,552,1232,113560
2026,551,1277,114837
2026,550,1254,116091
2026,549,1252,117343
2026,548,1234,118577
2026,547,1276,119853
2026,546,1308,121161
2026,545,1196,122357
2026,544,1292,123649
2026,543,1297,124946
2026,542,1375,126321
2026,541,1241,127562
2026,540,1276,128838
2026,539,1271,130109
2026,538,1225,131334
2026,537,1240,132574
2026,536,1333,133907
2026,535,1220,135127
2026,534,1272,136399
2026,533,1264,137663
2026,532,1267,138930
2026,531,1233,140163
2026,530,1274,141437
2026,529,1346,142783
2026,528,1254,144037
2026,527,1289,145326
2026,526,1243,146569
2026,525,1270,147839
2026,524,1247,149086
2026,523,1294,150380
2026,522,1280,151660
2026,521,1213,152873
2026,520,1225,154098
2026,519,1218,155316
2026,518,1225,156541
2026,517,1158,157699
2026,516,1222,158921
2026,515,1224,160145
2026,514,1247,161392
2026,513,1223,162615
2026,512,1165,163780
2026,511,1244,165024
2026,510,1225,166249
2026,509,1201,167450
2026,508,1138,168588
2026,507,1256,169844
2026,506,1220,171064
2026,505,1220,172284
2026,504,1215,173499
2026,503,1162,174661
2026,502,1144,175805
2026,501,1168,176973
2026,500,1103,178076
2026,499,1137,179213
2026,498,1107,180320
2026,497,1115,181435
2026,496,1082,182517
2026,495,1144,183661
2026,494,1155,184816
2026,493,1083,185899
2026,492,1150,187049
2026,491,1027,188076
2026,490,1035,189111
2026,489,1129,190240
2026,488,1065,191305
2026,487,1032,192337
2026,486,1037,193374
2026,485,1075,194449
2026,484,996,195445
2026,483,1039,196484
2026,482,1012,197496
2026,481,984,198480
2026,480,1010,199490
2026,479,981,200471
2026,478,980,201451
2026,477,1013,202464
2026,476,1003,203467
2026,475,940,204407
2026,474,1019,205426
2026,473,988,206414
2026,472,989,207403
2026,471,897,208300
2026,470,943,209243
2026,469,902,210145
2026,468,896,211041
2026,467,925,211966
2026,466,870,212836
2026,465,905,213741
2026,464,875,214616
2026,463,877,215493
2026,462,930,216423
2026,461,835,217258
2026,460,852,218110
2026,459,841,218951
2026,458,816,219767
2026,457,797,220564
2026,456,820,221384
2026,455,824,222208
2026,454,805,223013
2026,453,767,223780
2026,452,800,224580
2026,451,811,225391
2026,450,776,226167
2026,449,748,226915
2026,448,727,227642
2026,447,803,228445
2026,446,724,229169
2026,445,728,229897
2026,444,719,230616
2026,443,701,231317
2026,442,739,232056
2026,441,779,232835
2026,440,732,233567
2026,439,719,234286
2026,438,697,234983
2026,437,669,235652
2026,436,665,236317
2026,435,709,237026
2026,434,664,237690
2026,433,702,238392
2026,432,687,239079
2026,431,644,239723
2026,430,638,240361
2026,429,630,240991
2026,428,611,241602
2026,427,614,242216
2026,426,641,242857
2026,425,608,243465
2026,424,653,244118
2026,423,596,244714
2026,422,670,245384
2026,421,594,245978
2026,420,590,246568
2026,419,581,247149
2026,418,549,247698
2026,417,537,248235
2026,416,567,248802
2026,415,558,249360
2026,414,540,249900
2026,413,566,250466
2026,412,571,251037
2026,411,525,251562
2026,410,557,252119
2026,409,531,252650
2026,408,523,253173
2026,407,519,253692
2026,406,520,254212
2026,405,491,254703
2026,404,473,255176
2026,403,526,255702
2026,402,498,256200
2026,401,504,256704
2026,400,464,257168
2026,399,484,257652
2026,398,474,258126
2026,397,511,258637
2026,396,508,259145
2026,395,438,259583
2026,394,455,260038
2026,393,502,260540
2026,392,449,260989
2026,391,477,261466
2026,390,392,261858
2026,389,434,262292
2026,388,452,262744
2026,387,460,263204
2026,386,486,263690
2026,385,428,264118
2026,384,413,264531
2026,383,415,264946
2026,382,448,265394
2026,381,428,265822
2026,380,418,266240
2026,379,378,266618
2026,378,379,266997
2026,377,384,267381
2026,376,396,267777
2026,375,376,268153
2026,374,394,268547
2026,373,355,268902
2026,372,387,269289
2026,371,375,269664
2026,370,357,270021
2026,369,388,270409
2026,368,346,270755
2026,367,374,271129
2026,366,349,271478
2026,365,337,271815
2026,364,313,272128
2026,363,330,272458
2026,362,318,272776
2026,361,315,273091
2026,360,296,273387
2026,359,320,273707
2026,358,312,274019
2026,357,323,274342
2026,356,315,274657
2026,355,301,274958
2026,354,312,275270
2026,353,299,275569
2026,352,268,275837
2026,351,322,276159
2026,350,280,276439
2026,349,252,276691
2026,348,271,276962
2026,347,285,277247
2026,346,294,277541
2026,345,232,277773
2026,344,269,278042
2026,343,251,278293
2026,342,244,278537
2026,341,242,278779
2026,340,226,279005
2026,339,245,279250
2026,338,246,279496
2026,337,236,279732
2026,336,219,279951
2026,335,243,280194
2026,334,234,280428
2026,333,200,280628
2026,332,203,280831
2026,331,240,281071
2026,330,227,281298
2026,329,200,281498
2026,328,200,281698
2026,327,234,281932
2026,326,218,282150
2026,325,211,282361
2026,324,205,282566
2026,323,203,282769
2026,322,188,282957
2026,321,193,283150
2026,320,182,283332
2026,319,173,283505
2026,318,195,283700
2026,317,172,283872
2026,316,168,284040
2026,315,194,284234
2026,314,172,284406
2026,313,163,284569
2026,312,148,284717
2026,311,165,284882
2026,310,175,285057
2026,309,172,285229
2026,308,153,285382
2026,307,175,285557
2026,306,154,285711
2026,305,137,285848
2026,304,154,286002
2026,303,159,286161
2026,302,162,286323
2026,301,168,286491
2026,300,147,286638
2026,299,144,286782
2026,298,164,286946
2026,297,171,287117
2026,296,156,287273
2026,295,155,287428
2026,294,144,287572
2026,293,160,287732
2026,292,169,287901
2026,291,182,288083
2026,290,165,288248
2026,289,169,288417
2026,288,149,288566
2026,287,171,288737
2026,286,165,288902
2026,285,157,289059
2026,284,158,289217
2026,283,206,289423
2026,282,184,289607
2026,281,177,289784
2026,280,171,289955
2026,279,195,290150
2026,278,196,290346
2026,277,191,290537
2026,276,210,290747
2026,275,188,290935
2026,274,188,291123
2026,273,187,291310
2026,272,222,291532
2026,271,202,291734
2026,270,199,291933
2026,269,191,292124
2026,268,201,292325
2026,267,213,292538
2026,266,215,292753
