college_code,college_name,province,city,source_page
0002,中国美术学院,浙江,杭州,12
0003,浙江工业大学,浙江,杭州,12
0004,浙江师范大学,浙江,金华,13
0005,宁波大学,浙江,宁波,13
0006,杭州电子科技大学,浙江,杭州,14
0007,浙江工商大学,浙江,杭州,14
0008,浙江理工大学,浙江,杭州,15
0009,温州医科大学,浙江,温州,15
0010,浙江海洋大学,浙江,舟山,16
0011,浙江农林大学,浙江,杭州,17
0012,浙江中医药大学,浙江,杭州,17
0013,中国计量大学,浙江,杭州,18
0014,浙江万里学院,浙江,宁波,18
0015,浙江科技学院,浙江,杭州,19
0016,浙江财经大学,浙江,杭州,19
0017,嘉兴学院,浙江,嘉兴,20
0018,浙大城市学院,浙江,杭州,20
0019,浙大宁波理工学院,浙江,宁波,21
0020,杭州师范大学,浙江,杭州,21
0021,湖州师范学院,浙江,湖州,22
0022,绍兴文理学院,浙江,绍兴,23
0023,台州学院,浙江,台州,23
0024,温州大学,浙江,温州,24
0025,浙江外国语学院,浙江,杭州,25
0027,浙江传媒学院,浙江,杭州,25
0028,宁波工程学院,浙江,宁波,25
0029,衢州学院,浙江,衢州,26
0030,浙江水利水电学院,浙江,杭州,26
0036,杭州医学院,浙江,杭州,28
0038,丽水学院,浙江,丽水,28
0041,浙江艺术职业学院,浙江,杭州,29
0042,浙江交通职业技术学院,浙江,杭州,29
0043,浙江工商职业技术学院,浙江,宁波,29
0044,浙江工贸职业技术学院,浙江,温州,29
0045,浙江机电职业技术学院,浙江,杭州,30
0046,浙江商业职业技术学院,浙江,杭州,30
0047,浙江警官职业学院,浙江,杭州,31
0048,浙江工业职业技术学院,浙江,绍兴,31
0049,浙江旅游职业学院,浙江,杭州,31
0050,浙江金融职业学院,浙江,杭州,32
0051,浙江经济职业技术学院,浙江,杭州,32
0052,浙江建设职业技术学院,浙江,杭州,32
0053,浙江经贸职业技术学院,浙江,杭州,32
0058,浙江纺织服装职业技术学院,浙江,宁波,34
0060,杭州职业技术学院,浙江,杭州,35
0061,金华职业技术学院,浙江,金华,35
0062,义乌工商职业技术学院,浙江,义乌,36
0063,宁波职业技术学院,浙江,宁波,36
0064,温州职业技术学院,浙江,温州,37
0066,台州职业技术学院,浙江,台州,38
0069,嘉兴职业技术学院,浙江,嘉兴,38
0070,湖州职业技术学院,浙江,湖州,39
0071,衢州职业技术学院,浙江,衢州,39
0072,丽水职业技术学院,浙江,丽水,40
0075,台州科技职业学院,浙江,台州,41
0076,杭州科技职业技术学院,浙江,杭州,41
0085,温州科技职业学院,浙江,温州,42
0106,浙江同济科技职业学院,浙江,杭州,46
0111,浙江国际海运职业技术学院,浙江,舟山,46
0112,宁波卫生职业技术学院,浙江,宁波,47
0113,宁波城市职业技术学院,浙江,宁波,47
0115,浙江特殊教育职业学院,浙江,杭州,47
0121,湖州学院,浙江,湖州,48
0123,温州理工学院,浙江,温州,48
0124,宁波幼儿师范高等专科学校,浙江,宁波,49
0125,嘉兴南湖学院,浙江,嘉兴,49
0128,浙江邮电职业技术学院,浙江,绍兴,50
0129,浙江农业商贸职业学院,浙江,绍兴,50
0133,浙江安防职业技术学院,浙江,温州,50
0189,北京航空航天大学中法航空学院,浙江,杭州,52
0199,浙江药科职业大学,浙江,宁波,52
0232,浙江舟山群岛新区旅游与健康职业学院,浙江,舟山,52
0259,浙江大学医学院,浙江,杭州,52
