college_code,college_name,years,year_count
0001,浙江大学(一流大学建设高校),2021,1
0001,浙江大学（一流大学建设高校）,2022,1
0001,浙江大学,"2024,2026",2
0002,中国美术学院(一流学科建设高校)(省重点建设高校),2021,1
0002,中国美术学院（一流学科建设高校）（省重点建设高校）,2022,1
0002,中国美术学院,"2024,2026",2
0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),2021,1
0003,浙江工业大学（入选“2011计划”高校）（省重点建设高校）,2022,1
0003,浙江工业大学,"2024,2026",2
0004,浙江师范大学(省重点建设高校),2021,1
0004,浙江师范大学（省重点建设高校）,2022,1
0004,浙江师范大学,"2024,2026",2
0005,宁波大学(一流学科建设高校)(省重点建设高校),2021,1
0005,宁波大学（一流学科建设高校）（省重点建设高校）,2022,1
0005,宁波大学,"2024,2026",2
0006,杭州电子科技大学(省重点建设高校),2021,1
0006,杭州电子科技大学（省重点建设高校）,2022,1
0006,杭州电子科技大学,"2024,2026",2
0007,浙江工商大学(省重点建设高校),2021,1
0007,浙江工商大学（省重点建设高校）,2022,1
0007,浙江工商大学,"2024,2026",2
0008,浙江理工大学(省重点建设高校),2021,1
0008,浙江理工大学（省重点建设高校）,2022,1
0008,浙江理工大学,"2024,2026",2
0009,温州医科大学(省重点建设高校),2021,1
0009,温州医科大学（省重点建设高校）,2022,1
0009,温州医科大学,"2024,2026",2
0010,浙江海洋大学(省市共建重点高校),2021,1
0010,浙江海洋大学（省市共建重点高校）,2022,1
0010,浙江海洋大学,"2024,2026",2
0011,浙江农林大学(省重点建设高校),2021,1
0011,浙江农林大学（省重点建设高校）,2022,1
0011,浙江农林大学,"2024,2026",2
0012,浙江中医药大学(省重点建设高校),2021,1
0012,浙江中医药大学（省重点建设高校）,2022,1
0012,浙江中医药大学,"2024,2026",2
0013,中国计量大学(省市共建重点高校),2021,1
0013,中国计量大学（省市共建重点高校）,2022,1
0013,中国计量大学,"2024,2026",2
0014,浙江万里学院,"2021,2022,2024,2026",4
0015,浙江科技学院,"2021,2022",2
0015,浙江科技大学,"2024,2026",2
0016,浙江财经大学(省重点建设高校),2021,1
0016,浙江财经大学（省重点建设高校）,2022,1
0016,浙江财经大学,"2024,2026",2
0017,嘉兴学院,"2021,2022",2
0017,嘉兴大学,"2024,2026",2
0018,浙大城市学院,"2021,2022,2024,2026",4
0019,浙大宁波理工学院,"2021,2022,2024,2026",4
0020,杭州师范大学(省重点建设高校),2021,1
0020,杭州师范大学（省重点建设高校）,2022,1
0020,杭州师范大学,"2024,2026",2
0021,湖州师范学院,"2021,2022,2024",3
0021,湖州师范大学,2026,1
0022,绍兴文理学院,"2021,2022,2024",3
0022,绍兴大学,2026,1
0023,台州学院,"2021,2022,2024,2026",4
0024,温州大学(省市共建重点高校),2021,1
0024,温州大学（省市共建重点高校）,2022,1
0024,温州大学,"2024,2026",2
