year,college_code,college_name,major_code,major_name,plan_count,min_score,min_rank
2021,0001,浙江大学(一流大学建设高校),001,人文科学试验班,201,662,3548
2021,0001,浙江大学(一流大学建设高校),002,社会科学试验班,188,667,2356
2021,0001,浙江大学(一流大学建设高校),003,社会科学试验班(竺可桢学院人文社科实验班、智能财务班),3,686,350
2021,0001,浙江大学(一流大学建设高校),004,理科试验班类,108,667,2397
2021,0001,浙江大学(一流大学建设高校),005,理科试验班(生命、环境、化学与地学),114,657,4733
2021,0001,浙江大学(一流大学建设高校),006,工科试验班,533,659,4180
2021,0001,浙江大学(一流大学建设高校),007,工科试验班(信息),243,671,1694
2021,0001,浙江大学(一流大学建设高校),008,工科试验班(材料、化工与高分子),166,654,5661
2021,0001,浙江大学(一流大学建设高校),009,工科试验班(竺可桢学院图灵班),3,686,337
2021,0001,浙江大学(一流大学建设高校),010,医学试验班(竺可桢学院巴德年医学班),26,678,867
2021,0001,浙江大学(一流大学建设高校),011,工科试验班(海洋),108,647,8223
2021,0001,浙江大学(一流大学建设高校),012,应用生物科学(农学),188,649,7583
2021,0001,浙江大学(一流大学建设高校),013,应用生物科学(生工食品),24,654,5923
2021,0002,中国美术学院(一流学科建设高校)(省重点建设高校),013,工业设计,50,610,32889
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),001,健行学院实验班,40,639,
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),002,化工与制药类(化学工程类),165,603,39160
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),003,安全工程,14,610,32698
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),004,生物工程类,64,607,35790
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),005,药学类(“2011计划”创新实验区),160,613,30308
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),006,环境科学与工程类,51,605,36986
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),007,材料类,40,600,41569
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),008,食品科学与工程类,52,604,38123
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),009,机械类,144,606,36742
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),010,机器人工程,65,615,28278
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),011,电气类,66,613,29877
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),012,电子信息类,82,615,28443
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),013,计算机类,238,619,25028
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),014,土木类,62,608,34662
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),015,数学类,43,613,29733
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),016,物理学类(物理与光电信息类),43,612,31238
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),017,工商管理类,118,615,28056
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),018,管理科学与工程类,44,609,33147
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),019,经济与贸易类,112,619,25515
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),020,应用心理学,18,614,28878
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),021,外国语言文学类,166,612,31156
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),022,汉语言文学,69,623,22497
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),023,新闻传播学类,75,621,23829
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),024,建筑类,95,616,27206
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),025,工业设计,39,617,26494
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),026,法学类,91,623,21870
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),027,公共管理类,66,611,31662
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),028,软件工程(中外合作办学),64,601,41326
2021,0003,浙江工业大学(入选“2011计划”高校)(省重点建设高校),029,土木工程(中外合作办学),32,590,52185
2021,0004,浙江师范大学(省重点建设高校),001,文科试验班类(师范),29,647,8156
2021,0004,浙江师范大学(省重点建设高校),002,理科试验班类(自然科学)(师范),57,637,13320
2021,0004,浙江师范大学(省重点建设高校),003,理科试验班类(工程技术),30,613,30400
2021,0004,浙江师范大学(省重点建设高校),004,工商管理类,133,598,43892
2021,0004,浙江师范大学(省重点建设高校),005,经济与贸易类,63,598,44533
2021,0004,浙江师范大学(省重点建设高校),006,法学类,88,615,28615
2021,0004,浙江师范大学(省重点建设高校),007,思想政治教育(师范),36,636,13489
2021,0004,浙江师范大学(省重点建设高校),008,小学教育(师范),9,641,11270
2021,0004,浙江师范大学(省重点建设高校),009,教育技术学(师范),33,620,24180
2021,0004,浙江师范大学(省重点建设高校),010,应用心理学(师范),44,623,22149
2021,0004,浙江师范大学(省重点建设高校),011,学前教育(师范),115,608,34582
2021,0004,浙江师范大学(省重点建设高校),014,汉语言文学(师范),62,641,10868
