college_code,college_name,city,status,layout,bed_type,bathroom,air_conditioner,campus_env,confidence,evidence_count,first_source,unresolved
0011,浙江农林大学,杭州,found,4人间（衣锦校区联建公寓与校内宿舍均为4人寝）,两种并存：联建E1-3为上下铺，E4-6为上床下桌；东湖校区为上铺/下铺+连排桌,独立卫浴（内有热水淋浴器）,有,东湖校区位于杭州临安，北依南山，占地1866亩，以人工湖与绿地为校园核心，规划绿地率61.8%，拟建成本省植物种类最丰富的植物园；衣锦校区为老校区，校内配食堂、活动中心，东邻室外运动场。,medium,4,https://www.dxsbb.com/news/16956.html,校园环境数据出自2002年官方文章（文中仍称“浙江林学院”），时效性存疑，近年是否有改造未核实；东湖校区具体寝室间数（来源仅描述床铺编号与连排桌，未写明几人间）；研究生/留学生楼栋条件未覆盖
0012,浙江中医药大学,杭州,found,4人间 和 6人间（由学校统一安排）,上床下桌（来源描述“上床下桌，柜子很多”）,独立卫浴（独卫独浴，带洗漱台）,有（空调随时可租）,学校有滨文校区（2000年投入使用）与富春校区（2015年投入使用）两个校区，因投用时间不同条件存在差别，但基本生活条件均可达到。校园景观与绿化情况未采集到。,medium,3,https://m.gk100.com/read_295127931.htm,校园环境（绿化、景观、周边）未采集到；4人间与6人间的分配规则（按学院/专业/年级）未查到；6人间是上床下桌还是上下铺，来源未说明；本条目为2023年文章，2024年后是否有宿舍改造未核实
0013,中国计量大学,杭州,partial,4-5人间,未知,独立卫浴（“都有独立的卫生间”）,有,未采集到,low,1,https://www.dxsbb.com/news/17190.html,来源未指明校区名称，校区归属未知；床型（上床下桌/上下铺）未说明；校园环境未采集到（官方域名 www.cjlu.edu.cn 抓取返回 HTTP 412，无法读取正文）
0014,浙江万里学院,宁波,found,4人间（以四人寝为主）,上床下桌,独立卫浴,有,分钱湖校区与回龙校区两处办学；钱湖校区宿舍楼设特护房、洗衣房、共享厨房、自习室与健身房，回龙校区寝室楼新建共享厨房、公共书吧、健身房、特护房。校园景观绿化未采集到。,medium,2,https://www.dxsbb.com/news/17192.html,校园环境（绿化、景观、周边）未采集到；两个校区分别对应哪些学院/年级未查到；两来源均称“为主/大部分”为四人间，少量非四人间情况未说明
0015,浙江科技大学,杭州,partial,5人间（小和山校区）；安吉校区间数来源未写明,上床下桌（来源作“上床下桌”“上铺下桌”）,独立卫浴,有,来源仅说明有安吉校区与小和山校区两个办学点，小和山校区含东和、西和、听松三个宿舍区；校区占地、绿化与景观未采集到。,medium,2,https://www.dxsbb.com/news/17256.html,2023年11月“浙江科技学院”更名为“浙江科技大学”，来源页面为更名后内容，正文仍沿用“浙江科技学院”表述；安吉校区所在城市来源未写明（页面仅称“安吉校区”）；校园环境（占地/绿化/景观）未采集到；两校区寝室间数差异（安吉校区几人间）未查到
0015,浙江科技学院,杭州,partial,5人间（小和山校区）；安吉校区间数来源未写明,上床下桌（来源作“上床下桌”“上铺下桌”）,独立卫浴,有,来源仅说明有安吉校区与小和山校区两个办学点，小和山校区含东和、西和、听松三个宿舍区；校区占地、绿化与景观未采集到。,medium,2,https://www.dxsbb.com/news/17256.html,本行与“0015 浙江科技大学”为同一所学校更名前后两个名称，CSV 中重复出现；来源页面为更名后发布，未找到2023年更名前独立来源交叉验证；安吉校区所在城市来源未写明；校园环境未采集到
0016,浙江财经大学,杭州,partial,4人间 / 6人间,未知,未知,有,未采集到,low,3,https://www.dxsbb.com/news/17259.html,来源未指明校区名称（仅提“桃李苑生活区”），校区归属未知；床型（上床下桌/上下铺）与是否独立卫浴未说明；校园环境未采集到
0017,嘉兴大学,嘉兴,found,来源未写明几人间（床位约1.9m*0.85m）,未知,未知（楼内提供空气源热水淋浴服务）,有（以寝室为单位租赁）,梁林校区位于嘉兴经济技术开发区，总用地89.7万平方米，绿地率42.24%，校园环境幽雅；新校区以“水体”打造水乡特色、以“院落”营造书院氛围，园内有虹源湖、大草坪、校友林、香樟大道等景观。,medium,3,https://www.dxsbb.com/news/17184.html,寝室具体几人间、床型、是否独立卫浴来源未写明；校园环境官方文章发布于2021年（当时校名仍为嘉兴学院），2023年更名后是否有变化未核实；平湖校区校园环境未覆盖
0017,嘉兴学院,嘉兴,found,来源未写明几人间（床位约1.9m*0.85m）,未知,未知（楼内提供空气源热水淋浴服务）,有（以寝室为单位租赁）,梁林校区位于嘉兴经济技术开发区，总用地89.7万平方米，绿地率42.24%，校园环境幽雅；新校区以“水体”打造水乡特色、以“院落”营造书院氛围，园内有虹源湖、大草坪、校友林等景观。,medium,2,https://www.dxsbb.com/news/17184.html,本行与“0017 嘉兴大学”为同一所学校更名前后两个名称，CSV 中重复出现；寝室几人间、床型、是否独立卫浴来源未写明；平湖校区校园环境未覆盖
0018,浙大城市学院,杭州,found,4人间,上床下桌,独立卫浴,有,位于杭州拱墅区主城区，毗邻京杭大运河，占地1027亩、校舍面积51万余平方米；西接红建河、东连上塘河，南有城北体育公园，北望半山国家森林公园，陈家桥河穿校而过。,medium,4,https://www.gk100.com/question_264777394.htm,官方来源（zs.hzcu.edu.cn / hzcu.edu.cn）未成功抓取，结论全部来自高考资讯站与自媒体，需以学校最新公布为准；“南校区/北校区”为公寓分区表述，与正式校区划分的对应关系未核实；空调、热水器是否需租赁，两个来源表述不一致（一处称刷校园卡用热水，一处称均已配备）；自媒体文中提及网民反映“部分宿舍条件老旧”，具体楼栋未列明
